Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time
DNS,UDP,1,127.0.0.1,53,46173,207,0.0
DNS,UDP,1,127.0.0.53,52146,53,98,1.661392109236734
DNS,UDP,1,2405:204:d281:6c93::48,48631,53,107,3.297264938518799
DNS,UDP,1,2405:204:d281:6c93:61f0:29e0:f237:4c46,53,48631,200,4.900966139356985
DNS,UDP,1,2405:204:d281:6c93::48,37258,53,122,6.474874629794151
DNS,UDP,1,2405:204:d281:6c93:61f0:29e0:f237:4c46,53,37258,122,5.962847640524067
DNS,UDP,1,127.0.0.1,53,52146,191,7.105760122023634
TCP,TCP,1,111.221.29.254,45212,443,76,8.202832591142265
TLS,TCP,1,2404:6800:4007:807::200e,54264,443,127,5.9141217270409046
TCP,TCP,1,111.221.29.254,45212,443,76,4.820153846586029
TCP,TCP,1,2405:204:d281:6c93:61f0:29e0:f237:4c46,443,54264,88,5.33963689027014
TLS,TCP,1,2405:204:d281:6c93:61f0:29e0:f237:4c46,443,54264,127,5.843747387641346
TCP,TCP,1,2404:6800:4007:807::200e,54264,443,88,6.3513267819096715
ICMPV6,TCP,1,2405:204:d281:6c93:a779:316d:4946:a8d,0,0,88,6.859018404491236
ICMPV6,TCP,1,fe80::aa96:75ff:fe07:4b51,0,0,80,7.368958847957658
TLS,TCP,1,2405:204:d281:6c93:61f0:29e0:f237:4c46,443,54264,127,5.694076227755591
TCP,TCP,1,2404:6800:4007:807::200e,54264,443,100,6.057041490849886
